Date,AGGU.L,EIMI.L,FUSD.L,SMGB.L,VWRA.L,ZPRV.DE
2021-01-01,5.754000186920166,36.86000061035156,6.652586460113525,15.932999610900879,99.83999633789062,37.60499954223633
2021-02-01,5.64300012588501,37.27000045776367,6.744217395782471,16.23699951171875,102.0199966430664,40.8849983215332
2021-03-01,5.636000156402588,36.869998931884766,7.1485700607299805,16.6299991607666,104.86000061035156,44.65999984741211
2021-04-01,5.6539998054504395,37.529998779296875,7.407585620880127,16.858999252319336,109.23999786376953,45.20500183105469
2021-05-01,5.664999961853027,38.18000030517578,7.484619617462158,16.724000930786133,111.12000274658203,45.7400016784668
2021-06-01,5.690999984741211,38.59000015258789,7.569052696228027,18.035999298095703,112.19999694824219,46.630001068115234
2021-07-01,5.750999927520752,36.52000045776367,7.727228164672852,17.979000091552734,113.05999755859375,45.689998626708984
2021-08-01,5.738999843597412,37.02000045776367,7.839415073394775,18.82900047302246,115.77999877929688,46.8849983215332
2021-09-01,5.681000232696533,35.959999084472656,7.607174873352051,18.426000595092773,111.62000274658203,47.334999084472656
2021-10-01,5.671000003814697,36.099998474121094,7.974625587463379,18.982999801635742,116.33999633789062,49.08000183105469
2021-11-01,5.701000213623047,34.61000061035156,7.950955390930176,21.952499389648438,113.86000061035156,48.619998931884766
2021-12-01,5.681000232696533,35.654998779296875,8.39161491394043,21.975000381469727,118.27999877929688,50.720001220703125
2022-01-01,5.585000038146973,35.06999969482422,8.015535354614258,19.26300048828125,111.95999908447266,48.2599983215332
2022-02-01,5.494999885559082,33.88999938964844,7.89093017578125,19.37299919128418,110.0199966430664,49.97999954223633
2022-03-01,5.415999889373779,33.16999816894531,8.283527374267578,20.0575008392334,112.9000015258789,51.439998626708984
2022-04-01,5.25600004196167,31.420000076293945,7.7700042724609375,18.038000106811523,104.73999786376953,51.220001220703125
2022-05-01,5.248000144958496,31.290000915527344,7.685748100280762,18.37700080871582,103.08000183105469,50.15999984741211
2022-06-01,5.164000034332275,29.15999984741211,7.148499488830566,16.058000564575195,94.63999938964844,46.125
2022-07-01,5.320000171661377,29.200000762939453,7.656898021697998,18.058000564575195,100.66000366210938,51.88999938964844
